iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.3056420385837555
1000,-0.92,2.08,12,0.29993554949760437
1500,-0.88,2.12,8,0.27183419466018677
2000,-0.9,2.1,10,0.27908724546432495
2500,-1.0,2.0,12,0.2892056703567505
3000,-1.0,2.0,8,0.2854693830013275
3500,-1.0,2.0,9,0.28228870034217834
4000,-1.0,2.0,8,0.28279024362564087
4500,-1.0,2.0,9,0.27606210112571716
5000,-1.0,2.0,10,0.2651366591453552
5500,-1.0,2.0,10,0.27918338775634766
6000,-0.9,2.1,10,0.26566019654273987
6500,-1.0,2.0,8,0.2602039873600006
7000,-1.0,2.0,8,0.2705049514770508
7500,-1.0,2.0,8,0.26230910420417786
8000,-1.0,2.0,11,0.2731429934501648
8500,-1.0,2.0,9,0.2669389545917511
9000,-0.9,2.1,10,0.2557768225669861
9500,-1.0,2.0,8,0.26184409856796265
10000,-1.0,2.0,11,0.2754803001880646
10500,-0.88,2.12,8,0.2665342688560486
11000,-0.91,2.09,11,0.2598969340324402
11500,-1.0,2.0,8,0.26034045219421387
12000,-1.0,2.0,10,0.2571795582771301
12500,-1.0,2.0,9,0.2561374604701996
13000,-1.0,2.0,8,0.26144325733184814
13500,-1.0,2.0,9,0.2807069420814514
14000,-1.0,2.0,8,0.249952033162117
14500,-1.0,2.0,10,0.2590429186820984
15000,-1.0,2.0,10,0.24781665205955505
15500,-1.0,2.0,8,0.26246488094329834
16000,-1.0,2.0,8,0.26060229539871216
16500,-0.82,2.18,11,0.2685966193675995
17000,-1.0,2.0,8,0.2809005379676819
17500,-1.0,2.0,10,0.24978452920913696
18000,-1.0,2.0,10,0.2537851631641388
18500,-1.0,2.0,10,0.2870103418827057
19000,-1.0,2.0,9,0.27068015933036804
19500,-1.0,2.0,9,0.2551764249801636
20000,-1.0,2.0,8,0.2740314304828644
20500,-1.0,2.0,8,0.26466479897499084
21000,-1.0,2.0,10,0.26995646953582764
21500,-1.0,2.0,8,0.26296043395996094
22000,-1.0,2.0,10,0.24665914475917816
22500,-0.88,2.12,8,0.2700934410095215
23000,-1.0,2.0,8,0.2488129436969757
23500,-1.0,2.0,9,0.2515011727809906
24000,-1.0,2.0,8,0.2315443456172943
24500,-1.0,2.0,8,0.2661548852920532
25000,-1.0,2.0,9,0.24089914560317993
25500,-1.0,2.0,12,0.26812517642974854
26000,-1.0,2.0,13,0.2628993093967438
26500,-1.0,2.0,8,0.2812175452709198
27000,-1.0,2.0,8,0.2724710702896118
27500,-1.0,2.0,12,0.25575655698776245
28000,-1.0,2.0,8,0.24494148790836334
28500,-0.88,2.12,8,0.25158971548080444
29000,-1.0,2.0,8,0.25685498118400574
29500,-1.0,2.0,8,0.2826641798019409
30000,-1.0,2.0,8,0.2808733880519867
30500,-1.0,2.0,10,0.2676888704299927
31000,-1.0,2.0,8,0.26632097363471985
31500,-1.0,2.0,8,0.2693118155002594
32000,-1.0,2.0,9,0.2483503818511963
32500,-1.0,2.0,9,0.2711825370788574
33000,-0.88,2.12,8,0.2791184186935425
33500,-1.0,2.0,9,0.24393761157989502
34000,-0.88,2.12,8,0.28097161650657654
34500,-1.0,2.0,8,0.2760336995124817
35000,-1.0,2.0,10,0.2745424509048462
35500,-1.0,2.0,8,0.25610682368278503
36000,-1.0,2.0,10,0.2649226784706116
36500,-1.0,2.0,8,0.2779207229614258
37000,-1.0,2.0,12,0.2780367434024811
37500,-1.0,2.0,8,0.27731624245643616
38000,-1.0,2.0,11,0.2715669870376587
38500,-1.0,2.0,10,0.24311338365077972
39000,-0.91,2.09,11,0.28663983941078186
39500,-1.0,2.0,9,0.25058233737945557
40000,-1.0,2.0,8,0.2823140621185303
40500,-1.0,2.0,10,0.2764180600643158
41000,-0.9,2.1,10,0.2567596435546875
41500,-1.0,2.0,8,0.27563419938087463
42000,-1.0,2.0,8,0.26744744181632996
42500,-1.0,2.0,9,0.2666168510913849
43000,-1.0,2.0,8,0.27182748913764954
43500,-0.8,2.2,10,0.2424525022506714
44000,-1.0,2.0,8,0.2651129364967346
44500,-1.0,2.0,11,0.2608637511730194
45000,-1.0,2.0,8,0.2645236551761627
45500,-0.9,2.1,10,0.2720339894294739
46000,-1.0,2.0,8,0.25998181104660034
46500,-1.0,2.0,11,0.25870630145072937
47000,-1.0,2.0,10,0.27516603469848633
47500,-0.89,2.11,9,0.27181124687194824
48000,-1.0,2.0,9,0.2995073199272156
48500,-1.0,2.0,10,0.2634628117084503
49000,-0.91,2.09,11,0.2820190489292145
49500,-1.0,2.0,8,0.2648242115974426
50000,-0.78,2.22,9,0.27258503437042236
50500,-1.0,2.0,8,0.2768612504005432
51000,-1.0,2.0,8,0.27476444840431213
51500,-1.0,2.0,9,0.2595290243625641
52000,-1.0,2.0,9,0.27259618043899536
52500,-1.0,2.0,8,0.27772411704063416
53000,-1.0,2.0,8,0.26371362805366516
53500,-1.0,2.0,9,0.2646823823451996
54000,-1.0,2.0,10,0.26114532351493835
54500,-1.0,2.0,10,0.2581610083580017
55000,-1.0,2.0,9,0.2808478772640228
55500,-1.0,2.0,12,0.2792152762413025
56000,-1.0,2.0,8,0.25982052087783813
56500,-1.0,2.0,8,0.2572917640209198
57000,-1.0,2.0,8,0.28494513034820557
57500,-1.0,2.0,8,0.29119613766670227
58000,-0.91,2.09,11,0.2662130892276764
58500,-0.9,2.1,10,0.2661752998828888
59000,-0.88,2.12,8,0.27839067578315735
59500,-1.0,2.0,9,0.2745925486087799
60000,-1.0,2.0,8,0.2715415358543396
60500,-0.89,2.11,9,0.26579493284225464
61000,-1.0,2.0,9,0.27419593930244446
61500,-0.89,2.11,9,0.26174092292785645
62000,-1.0,2.0,11,0.27480795979499817
62500,-0.89,2.11,9,0.2551139295101166
63000,-1.0,2.0,8,0.2619837522506714
63500,-1.0,2.0,8,0.2753085494041443
64000,-1.0,2.0,9,0.24464191496372223
64500,-1.0,2.0,8,0.2691330909729004
65000,-1.0,2.0,8,0.2871891260147095
65500,-1.0,2.0,8,0.2633541226387024
66000,-1.0,2.0,8,0.26827093958854675
66500,-1.0,2.0,12,0.25807705521583557
67000,-1.0,2.0,8,0.2875840961933136
67500,-1.0,2.0,8,0.2664704918861389
68000,-1.0,2.0,8,0.27593228220939636
68500,-1.0,2.0,8,0.2751302421092987
69000,-0.83,2.17,12,0.27066975831985474
69500,-1.0,2.0,8,0.28109943866729736
70000,-0.88,2.12,8,0.2893509864807129
70500,-1.0,2.0,8,0.2653333246707916
71000,-1.0,2.0,8,0.2635311484336853
71500,-1.0,2.0,10,0.2507026791572571
72000,-1.0,2.0,8,0.2687264084815979
72500,-1.0,2.0,9,0.26540499925613403
73000,-1.0,2.0,9,0.2644328773021698
73500,-1.0,2.0,10,0.2558119297027588
74000,-1.0,2.0,8,0.26669567823410034
74500,-1.0,2.0,9,0.24585391581058502
75000,-1.0,2.0,8,0.2728310227394104
75500,-1.0,2.0,9,0.2678551971912384
76000,-1.0,2.0,9,0.29111072421073914
76500,-1.0,2.0,10,0.2537982165813446
77000,-1.0,2.0,8,0.27243661880493164
77500,-1.0,2.0,9,0.2804286479949951
78000,-0.88,2.12,8,0.29304245114326477
78500,-1.0,2.0,10,0.2669498920440674
79000,-1.0,2.0,8,0.28523513674736023
79500,-1.0,2.0,8,0.2876482605934143
80000,-1.0,2.0,11,0.27940618991851807
80500,-1.0,2.0,8,0.2716752290725708
81000,-1.0,2.0,8,0.279812216758728
81500,-1.0,2.0,10,0.2838006913661957
82000,-1.0,2.0,8,0.2840619385242462
82500,-0.91,2.09,11,0.27183422446250916
83000,-1.0,2.0,8,0.26438432931900024
83500,-0.88,2.12,8,0.2762312591075897
84000,-1.0,2.0,8,0.2859421670436859
84500,-1.0,2.0,12,0.261907160282135
85000,-1.0,2.0,8,0.26412084698677063
85500,-1.0,2.0,8,0.24830523133277893
86000,-1.0,2.0,8,0.26495805382728577
86500,-1.0,2.0,8,0.2876749634742737
87000,-1.0,2.0,11,0.26912155747413635
87500,-0.88,2.12,8,0.2754848897457123
88000,-1.0,2.0,8,0.2615482807159424
88500,-0.88,2.12,8,0.2655562162399292
89000,-0.88,2.12,8,0.2824435234069824
89500,-1.0,2.0,8,0.2624686360359192
90000,-1.0,2.0,10,0.28141191601753235
90500,-1.0,2.0,10,0.27072378993034363
91000,-1.0,2.0,9,0.2698593735694885
91500,-0.89,2.11,9,0.3098883032798767
92000,-1.0,2.0,9,0.25955089926719666
92500,-1.0,2.0,9,0.26591402292251587
93000,-1.0,2.0,8,0.27834752202033997
93500,-1.0,2.0,8,0.2722335457801819
94000,-1.0,2.0,8,0.2604195177555084
94500,-0.89,2.11,9,0.2693355679512024
95000,-1.0,2.0,8,0.2613738775253296
95500,-1.0,2.0,11,0.2797212600708008
96000,-0.89,2.11,9,0.25687363743782043
96500,-1.0,2.0,9,0.2841898798942566
97000,-1.0,2.0,11,0.2732601463794708
97500,-0.89,2.11,9,0.2846947908401489
98000,-1.0,2.0,8,0.26775026321411133
98500,-1.0,2.0,8,0.2727425694465637
99000,-0.91,2.09,11,0.26598697900772095
99500,-1.0,2.0,11,0.27208366990089417
100000,-1.0,2.0,11,0.27447208762168884
100500,-1.0,2.0,9,0.27509185671806335
101000,-1.0,2.0,10,0.28194889426231384
101500,-1.0,2.0,10,0.2674855589866638
102000,-1.0,2.0,8,0.28120195865631104
102500,-1.0,2.0,8,0.2949172258377075
103000,-1.0,2.0,10,0.2682154178619385
103500,-1.0,2.0,9,0.26790955662727356
104000,-1.0,2.0,8,0.27469995617866516
104500,-1.0,2.0,8,0.28501880168914795
105000,-1.0,2.0,9,0.2826666533946991
105500,-1.0,2.0,10,0.26691895723342896
106000,-1.0,2.0,8,0.2543303072452545
106500,-1.0,2.0,8,0.27542436122894287
107000,-1.0,2.0,9,0.2727082371711731
107500,-1.0,2.0,11,0.2974807620048523
108000,-0.89,2.11,9,0.2733588218688965
108500,-1.0,2.0,9,0.2659848630428314
109000,-1.0,2.0,9,0.26000136137008667
109500,-1.0,2.0,8,0.27728116512298584
110000,-1.0,2.0,8,0.24786309897899628
110500,-1.0,2.0,11,0.2893299460411072
111000,-1.0,2.0,9,0.26061713695526123
111500,-1.0,2.0,8,0.2653983235359192
112000,-1.0,2.0,8,0.2751588225364685
112500,-1.0,2.0,9,0.29153355956077576
113000,-1.0,2.0,9,0.263666570186615
113500,-1.0,2.0,10,0.2828822135925293
114000,-0.89,2.11,9,0.27267569303512573
114500,-1.0,2.0,11,0.25826188921928406
115000,-0.91,2.09,11,0.27435123920440674
115500,-1.0,2.0,8,0.2545563876628876
116000,-1.0,2.0,10,0.29483675956726074
116500,-1.0,2.0,9,0.3050905764102936
117000,-1.0,2.0,9,0.28178268671035767
117500,-1.0,2.0,8,0.27410292625427246
118000,-0.88,2.12,8,0.2706538438796997
118500,-1.0,2.0,10,0.256512850522995
119000,-1.0,2.0,9,0.25582316517829895
119500,-1.0,2.0,11,0.2628921866416931
120000,-0.88,2.12,8,0.27595043182373047
120500,-1.0,2.0,10,0.28197139501571655
121000,-1.0,2.0,8,0.27657806873321533
121500,-1.0,2.0,8,0.2898131310939789
122000,-1.0,2.0,12,0.27287349104881287
122500,-1.0,2.0,8,0.27271121740341187
123000,-1.0,2.0,8,0.2923069894313812
123500,-1.0,2.0,8,0.27958324551582336
124000,-0.91,2.09,11,0.24754969775676727
124500,-1.0,2.0,9,0.2884252667427063
125000,-0.9,2.1,10,0.2789433002471924
125500,-1.0,2.0,9,0.2853603661060333
126000,-1.0,2.0,10,0.2549245357513428
126500,-1.0,2.0,11,0.26839375495910645
127000,-1.0,2.0,11,0.26280999183654785
127500,-0.9,2.1,10,0.2799997627735138
128000,-0.88,2.12,8,0.2808748781681061
128500,-1.0,2.0,8,0.25608688592910767
129000,-1.0,2.0,10,0.27645424008369446
129500,-1.0,2.0,9,0.2814323306083679
130000,-1.0,2.0,8,0.2694185674190521
130500,-1.0,2.0,8,0.25657686591148376
131000,-1.0,2.0,9,0.26866456866264343
131500,-1.0,2.0,8,0.2736802399158478
132000,-1.0,2.0,10,0.2795238196849823
132500,-1.0,2.0,10,0.2576392889022827
133000,-0.88,2.12,8,0.27605965733528137
133500,-0.88,2.12,8,0.29523465037345886
134000,-0.9,2.1,10,0.26727190613746643
134500,-1.0,2.0,9,0.26786357164382935
135000,-1.0,2.0,9,0.2774607539176941
135500,-1.0,2.0,10,0.2564268708229065
136000,-0.91,2.09,11,0.29120659828186035
136500,-1.0,2.0,8,0.2875126004219055
137000,-1.0,2.0,11,0.2635573148727417
137500,-0.91,2.09,11,0.2847817838191986
138000,-1.0,2.0,8,0.2671510577201843
138500,-0.75,2.25,8,0.26256656646728516
139000,-1.0,2.0,10,0.285909503698349
139500,-1.0,2.0,8,0.26924318075180054
140000,-1.0,2.0,10,0.2409105896949768
140500,-1.0,2.0,10,0.2595912218093872
141000,-1.0,2.0,8,0.2598755955696106
141500,-0.88,2.12,8,0.2843579649925232
142000,-1.0,2.0,10,0.2597058415412903
142500,-1.0,2.0,8,0.28876516222953796
143000,-1.0,2.0,8,0.2541602849960327
143500,-1.0,2.0,11,0.2665271461009979
144000,-1.0,2.0,10,0.2680882215499878
144500,-1.0,2.0,8,0.27713853120803833
145000,-0.75,2.25,8,0.2815946638584137
145500,-1.0,2.0,9,0.2653123438358307
146000,-1.0,2.0,8,0.2835141122341156
146500,-1.0,2.0,8,0.25770631432533264
147000,-1.0,2.0,9,0.2914620041847229
147500,-0.88,2.12,8,0.27751317620277405
148000,-1.0,2.0,10,0.26790329813957214
148500,-1.0,2.0,9,0.29911574721336365
149000,-0.82,2.18,11,0.25217321515083313
149500,-1.0,2.0,9,0.29948073625564575
150000,-1.0,2.0,10,0.29168346524238586
150500,-1.0,2.0,12,0.2642911374568939
151000,-1.0,2.0,8,0.2533348500728607
151500,-0.9,2.1,10,0.27033719420433044
152000,-0.89,2.11,9,0.263542503118515
152500,-1.0,2.0,10,0.2638002634048462
153000,-1.0,2.0,10,0.29862669110298157
153500,-1.0,2.0,9,0.2720493972301483
154000,-1.0,2.0,9,0.2421279102563858
154500,-1.0,2.0,9,0.2798976004123688
155000,-1.0,2.0,8,0.2732717990875244
155500,-1.0,2.0,11,0.27612951397895813
156000,-0.89,2.11,9,0.27686893939971924
156500,-1.0,2.0,9,0.27942800521850586
157000,-1.0,2.0,9,0.2726392447948456
157500,-0.88,2.12,8,0.2709096670150757
158000,-1.0,2.0,8,0.2756298780441284
158500,-1.0,2.0,8,0.2846304178237915
159000,-1.0,2.0,8,0.2599372863769531
159500,-0.91,2.09,11,0.2605954706668854
160000,-1.0,2.0,10,0.279153048992157
160500,-0.91,2.09,11,0.2559398114681244
161000,-1.0,2.0,11,0.26178446412086487
161500,-1.0,2.0,8,0.2847004234790802
162000,-0.91,2.09,11,0.27500119805336
162500,-1.0,2.0,8,0.28646087646484375
163000,-0.8,2.2,10,0.26473793387413025
163500,-0.89,2.11,9,0.25856253504753113
164000,-1.0,2.0,8,0.2666049301624298
164500,-1.0,2.0,9,0.2558024823665619
165000,-1.0,2.0,9,0.26946935057640076
165500,-1.0,2.0,10,0.27790388464927673
166000,-1.0,2.0,9,0.2806679308414459
166500,-1.0,2.0,9,0.27528637647628784
167000,-1.0,2.0,8,0.2838890552520752
167500,-1.0,2.0,12,0.2880662977695465
168000,-1.0,2.0,8,0.26643967628479004
168500,-1.0,2.0,8,0.27003663778305054
169000,-1.0,2.0,8,0.2618280351161957
169500,-1.0,2.0,8,0.2646562457084656
170000,-1.0,2.0,8,0.27981820702552795
170500,-1.0,2.0,8,0.2796125113964081
171000,-1.0,2.0,10,0.2622108459472656
171500,-1.0,2.0,9,0.28930795192718506
172000,-1.0,2.0,10,0.26174893975257874
172500,-1.0,2.0,9,0.274811714887619
173000,-0.89,2.11,9,0.26753413677215576
173500,-1.0,2.0,9,0.26630303263664246
174000,-1.0,2.0,10,0.2562623620033264
174500,-1.0,2.0,11,0.2605532109737396
175000,-1.0,2.0,9,0.27474018931388855
175500,-1.0,2.0,8,0.3071933388710022
176000,-1.0,2.0,8,0.26526206731796265
176500,-1.0,2.0,10,0.25968021154403687
177000,-1.0,2.0,9,0.2647745609283447
177500,-0.88,2.12,8,0.26352164149284363
178000,-0.88,2.12,8,0.28608888387680054
178500,-1.0,2.0,9,0.2624908685684204
179000,-0.92,2.08,12,0.2810167670249939
179500,-1.0,2.0,9,0.2804301381111145
180000,-0.89,2.11,9,0.28165629506111145
180500,-1.0,2.0,8,0.29094594717025757
181000,-1.0,2.0,9,0.27499887347221375
181500,-0.89,2.11,9,0.28781336545944214
182000,-0.88,2.12,8,0.26531898975372314
182500,-0.82,2.18,11,0.25627219676971436
183000,-0.88,2.12,8,0.25668343901634216
183500,-1.0,2.0,10,0.2528931200504303
184000,-1.0,2.0,9,0.26971855759620667
184500,-1.0,2.0,8,0.2965031862258911
185000,-1.0,2.0,8,0.28835245966911316
185500,-0.9,2.1,10,0.26621705293655396
186000,-1.0,2.0,9,0.2664336860179901
186500,-1.0,2.0,9,0.2734595537185669
187000,-1.0,2.0,11,0.2821199297904968
187500,-0.9,2.1,10,0.2760266661643982
188000,-1.0,2.0,8,0.25320371985435486
188500,-1.0,2.0,10,0.29131343960762024
189000,-1.0,2.0,8,0.28675225377082825
189500,-1.0,2.0,8,0.28913718461990356
190000,-1.0,2.0,8,0.2779902517795563
190500,-1.0,2.0,10,0.27682456374168396
191000,-1.0,2.0,10,0.27665913105010986
191500,-1.0,2.0,8,0.2899746596813202
192000,-1.0,2.0,9,0.2711978554725647
192500,-0.91,2.09,11,0.2769254148006439
193000,-1.0,2.0,8,0.2967352569103241
193500,-1.0,2.0,9,0.23991547524929047
194000,-1.0,2.0,9,0.2824728488922119
194500,-1.0,2.0,8,0.2672748863697052
195000,-1.0,2.0,8,0.27186495065689087
195500,-1.0,2.0,8,0.2878428101539612
196000,-0.89,2.11,9,0.26402395963668823
196500,-1.0,2.0,9,0.26890331506729126
197000,-1.0,2.0,8,0.26430901885032654
197500,-1.0,2.0,8,0.26583391427993774
198000,-1.0,2.0,9,0.2767972946166992
198500,-1.0,2.0,9,0.2778528928756714
199000,-1.0,2.0,10,0.2735387682914734
199500,-0.88,2.12,8,0.2893061935901642
200000,-1.0,2.0,8,0.26629137992858887
